region,facility_name,establishment,facility_id,percentage_step_points,derived_stretcher_count,distinct_values_published,min_published,max_published,hours_observed
Nord-du-Québec,CENTRE DE SANTÉ DE CHIBOUGAMAU,SANTÉ QUÉBEC BAIE-JAMES,51218501,16,6,11,17,183,163
Outaouais,CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,SANTÉ QUÉBEC OUTAOUAIS,51219491,50,2,3,50,150,163
Outaouais,HÔPITAL DE GATINEAU,SANTÉ QUÉBEC OUTAOUAIS,51221703,3,33,31,82,196,163
Outaouais,HÔPITAL DE HULL,SANTÉ QUÉBEC OUTAOUAIS,51221711,4,25,28,72,188,163
Outaouais,HÔPITAL DE MANIWAKI,SANTÉ QUÉBEC OUTAOUAIS,51221893,16,6,9,50,183,163
Outaouais,HÔPITAL ET CHSLD DE PAPINEAU,SANTÉ QUÉBEC OUTAOUAIS,51228823,8,13,14,17,125,163
Outaouais,HÔPITAL ET CHSLD DU PONTIAC,SANTÉ QUÉBEC OUTAOUAIS,51219459,25,4,7,25,175,163
Outaouais,HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL,SANTÉ QUÉBEC OUTAOUAIS,51228799,25,4,7,25,175,163
Saguenay-Lac-Saint-Jean,HÔPITAL D'ALMA,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,51219400,5,20,11,6,71,163
Saguenay-Lac-Saint-Jean,HÔPITAL DE CHICOUTIMI,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,51218394,2,50,28,34,102,163
Saguenay-Lac-Saint-Jean,HÔPITAL DE DOLBEAU-MISTASSINI,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,51219384,10,10,10,20,110,163
Saguenay-Lac-Saint-Jean,HÔPITAL DE LA BAIE,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,51221364,14,7,8,14,114,163
Saguenay-Lac-Saint-Jean,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,51228203,7,14,14,8,108,163
Saguenay-Lac-Saint-Jean,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,51224541,6,17,20,6,131,163
